,name,city,country,passengers,lng,lat
0,Beijing Capital International Airport,Beijing,China,100013642,116.7185213,39.9020803
1,Shanghai Pudong International Airport,Shanghai,China,76153455,121.4511111,31.2515439
2,Guangzhou Baiyun International Airport,Guangzhou,China,73378475,113.2592945,23.1301964
3,Chengdu Shuangliu International Airport,Chengdu,China,55858552,104.0633717,30.6598628
4,Shenzhen Bao'an International Airport,Shenzhen,China,52931925,114.0543297,22.555454
5,Kunming Changshui International Airport,Kunming,China,48075978,102.8324209,24.8843019
6,Xi'an Xianyang International Airport,Xi'an,China,47220547,109.0,36.0
7,Shanghai Hongqiao International Airport,Shanghai,China,45637882,121.4511111,31.2515439
8,Chongqing Jiangbei International Airport,Chongqing,China,44786722,106.5478767,29.5647398
9,Hangzhou Xiaoshan International Airport,Hangzhou,China,40108405,120.2052342,30.2489634
10,Nanjing Lukou International Airport,Nanjing,China,30581685,118.7916458,32.0609736
11,Zhengzhou Xinzheng International Airport,Zhengzhou,China,29129328,113.6191483,34.7487244
12,Xiamen Gaoqi International Airport,Xiamen,China,27413363,118.0746834,24.4758496
13,Wuhan Tianhe International Airport,Wuhan,China,27150246,114.2999353,30.5951051
14,Changsha Huanghua International Airport,Changsha,China,26911393,112.9335861,28.2302056
15,Qingdao Liuting International Airport,Qingdao,China,25556278,120.3781372,36.0638034
16,Haikou Meilan International Airport,Haikou,China,24216552,110.1956502,20.0462328
17,Ürümqi Diwopu International Airport,Ürümqi,China,23963167,87.319461,43.419754
18,Tianjin Binhai International Airport,Tianjin,China,23813318,117.1951073,39.0856735
19,Guiyang Longdongbao International Airport,Guiyang,China,21910911,106.6246178,26.6499922
